id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,cluster_id
993,Vermouth,,310,317,1858,1989,0.0,20.0,6081
373879,Tomato salad,,305,317,1886,1965,0.0,0.95,8797
183381,Honey Dew Melon,,278,317,1916,1978,0.0,1.0,8196
375014,Queen Olives,,311,316,1892,2928,0.05,10.0,8491
375011,French Fried Potatoes,,292,315,1894,1989,0.0,5.0,54
1689,Mayonnaise,,298,315,1892,1981,0.0,10.0,2355
5611,Ceylon Tea,,313,314,1896,1981,0.0,0.55,1405
373923,Blue Points,,289,314,1889,2928,0.0,40.0,4877
800,BAKED SWEET POTATOES,,312,313,1852,1965,0.05,30.0,1814
4894,Broiled Bacon,,305,312,1859,1973,0.0,25.0,1720
1141,Sauternes,,286,311,1881,2012,0.0,100.0,391
4497,peaches,,301,311,1852,2012,0.0,150.0,3464
3388,Boiled Onions,,298,309,1858,1949,0.0,15.0,6245
700,Honey,,304,307,1881,1973,0.0,25.0,5414
147843,BAKED IDAHO POTATO,,288,306,1929,1987,0.1,1.0,5527
41061,Filet Mignon,,297,306,1900,1988,0.0,31.5,8439
375933,Iced Tea,,261,306,1900,1989,0.0,25.0,4542
926,Beefsteak,,230,306,1,1958,0.0,15.0,9345
1296,ENGLISH BREAKFAST TEA,,301,304,1880,1998,0.0,3.5,7175
1765,Mayonnaise dressing,,292,304,1891,2012,0.0,1.0,3614
184441,Kaffee Hag,,277,303,1917,2005,0.0,30.0,1991
2226,Roast Beef Sandwich,,296,302,1882,1988,0.0,20.0,4899
137839,Fresh Shrimp Cocktail,,257,302,1921,1973,0.0,2.75,7945
112529,Hearts of Celery,,291,301,1896,1980,0.15,2.25,6108
2479,Custard Pie,,295,301,1866,1955,0.05,15.0,8855
28351,Cape Cod Oysters,,281,300,1893,1987,0.0,45.0,2010
10403,Prime ribs of beef au jus,,293,300,1899,2928,0.0,40.0,239
1587,Spaghetti,,245,299,1895,2928,0.0,50.0,974
1578,French string beans,,295,299,1882,1965,0.15,40.0,1813
2031,Prime ribs of beef,,297,299,1891,1973,0.0,50.0,2986
9903,Tokay Grapes,,241,299,1896,1960,0.0,40.0,544
2340,Cold tongue,,298,298,1859,1972,0.0,35.0,183
6178,Fruchte,,296,296,1858,1957,0.0,0.0,6389
3800,Fried Ham,,275,296,1889,1961,0.0,20.0,4459
19986,Sliced Orange,,228,295,1900,1967,0.0,5.0,5211
1279,Mixed ice cream,,292,295,1882,1974,0.0,25.0,1695
140,Corn muffins,,284,295,1881,1987,0.0,0.6,9134
4058,Fried oysters,,289,295,1859,1987,0.2,80.0,2007
2507,Raisin cake,,283,294,1882,1973,0.05,5.0,8260
1121,Anchovy Salad,,286,294,1892,1950,0.0,60.0,5941
2312,Swiss cheese sandwich,,288,293,1895,1987,0.05,5.0,7716
394,French bread,,291,293,1882,1970,0.05,0.15,1982
192757,Preserved Skinless Figs,,187,293,1912,1941,0.25,30.0,2389
375012,Mashed Potatoes,,276,292,1854,2008,0.0,2.25,1721
3222,Julienne potatoes,,290,292,1888,1970,0.0,0.9,8519
27,Oysters,,289,292,1862,1963,0.0,35.0,6841
4997,Broiled Fresh Mushrooms,,236,292,1892,1948,0.25,90.0,8496
15275,Canadian Cheese,,237,291,1895,1948,0.0,0.3,5551
36279,Baked Potato,,282,291,1893,2001,0.0,30.0,6325
6156,Oolong Tea,,286,291,1865,1963,0.0,25.0,1434
762,Haut Sauternes,,263,290,1865,1973,0.0,150.0,8962
3946,Lemon Ice,,288,289,1882,2928,0.1,20.0,7978
373641,Lima Beans,,280,288,1894,1959,0.05,10.0,9546
5595,Dates,,287,288,1890,1973,0.0,20.0,3195
3939,Peach Ice Cream,,225,287,1893,1981,0.05,25.0,476
147,Clam cocktail,,269,287,1900,1968,0.05,25.0,1091
17159,Sliced Fresh Pineapple,,283,287,1900,1985,0.1,20.0,2545
1625,Stilton,,270,285,1881,1974,0.0,20.0,308
373628,Potato Salad,,274,285,1882,1987,0.0,10.0,9010
1269,Marmelade,,237,284,1899,1973,0.05,0.35,2543
3765,Hashed Brown Potatoes,,274,283,1,1969,0.0,0.9,4098
192,Strawberry short cake,,278,283,1882,1987,0.0,125.0,8943
54422,Dubonnet,,255,282,1905,1999,0.0,15.0,4945
1474,Medoc,,266,281,1864,1981,0.0,100.0,1236
4436,Kase,,279,280,1890,1970,0.0,0.0,4042
176,Oyster Bay asparagus,,271,279,1895,1941,0.15,75.0,6171
764,Laubenheimer,,257,278,1881,1955,0.0,100.0,2472
1409,Guava jelly,,269,278,1882,1965,0.0,0.5,614
11554,Vegetable Soup,,262,277,1889,1987,0.0,7.75,3706
378206,Chocolate ice cream,,274,277,1899,1998,0.05,10.0,8824
17385,Gruyere Cheese,,243,277,1884,1981,0.0,20.0,9141
43016,Sherbet,,247,277,1865,1988,0.0,4.0,131
11634,Shredded Wheat,,229,277,1,1989,0.0,20.0,7664
10874,Sliced Peaches,,197,277,1900,1962,0.0,40.0,5540
1387,Poached eggs,,275,276,1853,1987,0.0,1.0,2690
3990,Horlick's Malted Milk,,273,276,1,1962,0.0,10.0,3781
373904,American cheese,,271,276,1891,1952,0.0,0.65,1571
184173,Sauerkraut Juice,,251,276,1914,1987,0.0,30.0,5406
2580,Sliced pineapple,,252,275,1892,1987,0.0,15.0,706
1143,Chablis,,256,275,1851,1984,0.0,14.0,4052
6711,Pistache ice cream,,271,275,1882,1972,0.15,30.0,5294
78151,Liederkranz,,231,275,1900,1970,0.0,30.0,745
1945,bacon,,265,274,1853,1989,0.0,3.25,1541
373876,Romaine salad,,268,274,1900,1955,0.15,0.6,8982
4302,Port Salut,,192,273,1895,1969,0.0,30.0,7278
772,"Moet & Chandon, White Seal",,268,272,1884,1949,1.4,350.0,9459
2022,apple,,207,272,1900,1972,0.0,10.0,1022
395,Corn bread,,270,272,1853,1941,0.0,10.0,6778
375932,Iced Coffee,,231,271,1912,1989,0.05,25.0,7561
147330,Instant Postum,,249,271,1,1987,0.0,5.0,5407
7314,Fancy Cakes,,269,271,1880,1959,0.15,25.0,9139
4444,Boiled Sweet Potatoes,,266,271,1856,1955,0.05,30.0,8385
8795,Tom Collins,,264,271,1900,1999,0.0,5.5,2937
1588,Macaroni,,228,271,1851,1969,0.0,50.0,8048
68,Clam Fritters,,258,270,1880,1959,0.15,50.0,3451
6306,Fromage,,267,270,1880,1987,0.0,40.0,8520
1006,Claret,,256,269,1866,1974,0.0,40.0,624
169421,Roquefort Dressing,,257,268,1912,2012,0.0,0.75,2464
6012,Tangerines,,215,268,1891,1969,0.1,30.0,1356
183838,California Orange,,172,268,1912,1969,0.15,20.0,4742
3999,Corned beef sandwich,,264,267,1882,1987,0.0,6.5,6135
2629,lemon meringue pie,,230,267,1882,1987,0.0,5.0,1586
282,Jam,,248,267,1892,1981,0.0,1.25,3403
10859,Coffee with Cream,,260,267,1,1981,0.0,35.0,658
244,Porterhouse Steak,,261,267,1884,1962,0.0,5.0,8311
5635,toasted crackers,,262,266,1890,1958,0.05,0.1,9465
